Бабагануш	Закуски	european	Пита, орех кедровый, кинза, масло оливковое, лайм, баклажан, паста тахини, чеснок	light	vegetarian,vegan,lactose_free	gluten,nuts,sesame	200	318
Баклажаны в панировке	Закуски	european	Баклажан, соус «Сладкий чили», микс салатов	spicy,light	vegetarian,vegan,lactose_free	gluten	260	279
Вителло Тоннато	Закуски	italian	Ростбиф, соус Вителло тоннато, рукола, каперсы, масло оливковое	chef	gluten_free,lactose_free		200	723
Карпаччо Денвер	Закуски	italian	Говядина, смесь перцев, уксус бальзамический, масло оливковое, сыр пармезан, рукола, каперсы		gluten_free	dairy	140	371
Креветки в кляре	Закуски	european	Маринованные креветки в кляре, соус медово-горчичный		gluten_free,lactose_free	shellfish	130	535
Крылья куриные	Закуски	european	В соусе сладкий чили, барбекю, соус 1000 островов	spicy	gluten_free,lactose_free	soy	270	1353
Куриные стрипсы	Закуски	european	Филе куриное, панировочные сухари, соус чили, соус 1000 островов, кетчуп, молоко, яйцо	spicy		dairy,eggs,gluten,soy	310	887
Мясное плато	Закуски	european	Салями чоризо, пармская ветчина, пастрами, вяленые томаты, гриссини		lactose_free	gluten	125	557
Сырное плато	Закуски	italian	Сыр чеддер, сыр камамбер, сыр пармезан, сыр дор блю, соус вишневый, гриссини, орех грецкий		vegetarian	dairy,gluten,nuts	180	621
Тартар из авокадо с креветками	Закуски	european	Креветки, авокадо, лук красный, томаты вяленые, перец чили, лайм, чипсы из креветок	spicy,light	gluten_free,lactose_free	shellfish	165	349
Чесночные гренки	Закуски	european	Подаются с соусом блю-чиз		vegetarian,vegan,gluten_free,lactose_free		270	789
Витаминный салат	Салаты	european	Клюква вяленая, зелень, масло оливковое, яблочный уксус, капуста белокочанная, морковь, перец болгарский, сельдерей	light	vegetarian,vegan,gluten_free,lactose_free	celery	200	301
Греческий салат	Салаты	european	Томаты, перец болгарский, маслины, сербская брынза, красный лук, орегано, морская соль, огурцы, оливковое масло	hit,chef,light	vegetarian,vegan,gluten_free,lactose_free		250	257
Пастрами салат	Салаты	european	Мраморная говядина, запеченные перцы, микс салатов, медово-горчичная заправка, хрустящий лук фри	light	lactose_free	gluten	210	299
Салат Буррата с баклажанами	Салаты	asian	Буррата, баклажан, соус терияки, томаты, рукола, орех кедровый, масло оливковое, имбирь, перец чили	spicy	vegetarian,gluten_free	dairy,nuts	290	366
Салат Бык-тейсти	Салаты	european	Фарш говяжий, сыр чеддер, салат айсберг, лук красный, томаты розовые, соус бургер, огурцы корнишоны, гренки бриошь		gluten_free	dairy	350	367
Салат зелёный	Салаты	european	Шпинат, брокколи, цукини, огурец, горошек, сок лайма, авокадо, кинза, сельдерей, микс салатов, семена амаранта, мед, чили, уксус рисовый	spicy	vegetarian,vegan,gluten_free,lactose_free	celery	210	386
Салат Капрезе	Салаты	italian	Томаты, рассольная моцарелла, микс салатов, соус песто, крем бальзамик	light	vegetarian,gluten_free	dairy	200	316
Салат с говяжьим языком и ореховым соусом	Салаты	european	Язык говяжий, огурцы маринованные, перец сладкий, микс салатов, соус ореховый, соус соевый	light	vegetarian,vegan,gluten_free,lactose_free	nuts,soy	170	301
Салат с креветками и соусом манго	Салаты	european	Вяленые томаты, помидоры, соус чили-манго, апельсин, перец болгарский, креветки, рукола	spicy,light	gluten_free,lactose_free	shellfish	200	216
Салат с печеной тыквой и фетой	Салаты	european	Запечённая тыква, тыквенный мусс, микс салатов, фета, масло оливковое, вяленые томаты	light	vegetarian,gluten_free	dairy	240	306
Салат с ростбифом	Салаты	european	Говядина поясничный отруб, микс салатов, томаты, масло оливковое, мед, соевый соус	light	gluten_free,lactose_free	soy	190	281
Салат томаты со страчателлой	Салаты	italian	Томаты, сыр страчателла, соус песто, соус бальзамик, масло оливковое, салат рукола	light	vegetarian,gluten_free	dairy	240	259
Салат Цезарь с креветками	Салаты	italian	Креветки, сыр пармезан, салат айсберг, салат романо, помидоры, соус цезарь, чесночное масло, бон багет			dairy,shellfish,gluten	230	517
Салат Цезарь с курицей	Салаты	italian	Куриная грудка, сыр пармезан, салат айсберг, салат романо, помидоры, соус цезарь, чесночное масло, бон багет			dairy,gluten	240	481
Стейк-салат	Салаты	european	Микс салатов, стриплойн су-вид, томаты, масло оливковое, бальзамик, мед, соевый соус	light	gluten_free,lactose_free	soy	220	297
Теплый салат с цыпленком	Салаты	italian	Куриное филе, лук красный, томаты, цукини, кускус, микс салатов, соус ореховый, соус песто, чесночное масло, соус соевый	light	gluten_free,lactose_free	nuts,soy	300	326
Бульон куриный	Супы	european	С добавлением лапши, зелени, куриного филе, яиц и бон багета	big	lactose_free	gluten	420	421
Классический борщ	Супы	russian	Говядина поясничный отруб, сметана, укроп, петрушка, фокачча, сало свиное			dairy,gluten	330	978
Крем-суп грибной	Супы	european	Грибы белые, шампиньоны, вешенки, картофель, лук репчатый, сливки, бон багет, трюфельное масло		vegetarian	dairy,gluten	330	371
Крем-суп сырный	Супы	european	Сливочный сыр, копченое куриное филе, картофель, морковь, бон багет, чипсы из бекона			dairy,gluten	310	690
Том-ям	Супы	asian	Креветки, кальмар, рис, грибы шампиньоны, лайм, кинза, томаты черри, паста том ям, перец чили	spicy	lactose_free	shellfish,gluten	370	419
Пицца Баварская	Пицца и паста	italian	Пшеничное тесто, моцарелла, томатный соус, чоризо, бекон свиной, красный лук, колбаски, горчичный соус, шампиньоны, петрушка	big		dairy,gluten	415	1132
Пицца Маргарита	Пицца и паста	italian	Пшеничное тесто, моцарелла, томатный соус, орегано		vegetarian	dairy,gluten	300	705
Пицца Сырная	Пицца и паста	italian	Пшеничное тесто, моцарелла, чеддер, сыр пармезан, дор блю, томатный соус		vegetarian	dairy,gluten	350	910
Пицца Цезарь	Пицца и паста	italian	Пшеничное тесто, моцарелла, сыр пармезан, салат романо, салат айсберг, куриное филе, томаты, соус цезарь, сливки	big		dairy,gluten	420	1038
Пицца Чоризо	Пицца и паста	italian	Пшеничное тесто, моцарелла, чоризо, томатный соус			dairy,gluten	320	802
Бифштекс 4 сыра	Гриль (хоспер)	italian	Бифштекс из говядины, моцарелла, сыр пармезан, чеддер, дор блю, сливки, лук фри, рукола, соус брусничный		gluten_free	dairy	270	950
Говяжьи колбаски	Гриль (хоспер)	american	Колбаски, квашеная капуста, картофель беби, огурцы корнишоны, горчица, помидоры черри		gluten_free,lactose_free	mustard	245	1204
Кесадилья с говядиной	Гриль (хоспер)	asian	Фарш говяжий, тортилья, майонез, соус терияки, соус сальса, кукуруза, перец болгарский, сыр чеддер, сыр моцарелла			dairy,eggs,gluten	390	941
Колбаска из индейки	Гриль (хоспер)	american	Колбаска, квашеная капуста, картофель беби, огурцы корнишоны, горчица, помидоры черри		gluten_free,lactose_free	mustard	245	803
Куриные колбаски	Гриль (хоспер)	american	Колбаски, квашеная капуста, картофель беби, огурцы корнишоны, горчица, помидоры черри		gluten_free,lactose_free	mustard	245	954
Люля-кебаб из говядины	Гриль (хоспер)	american	Говядина, лук репчатый, чеснок, зира, кориандр, базилик, кинза, петрушка, томат, масло сливочное, лаваш, лук маринованный, соус сальса, перец острый маринованный	spicy	gluten_free	dairy	180	941
Люля-кебаб из индейки	Гриль (хоспер)	american	Индейка, жир говяжий, лаваш, перец острый маринованный, кинза, лук маринованный, соус сальса, лук репчатый, масло сливочное, базилик, чеснок, зелень	spicy	gluten_free	dairy	180	941
Медальоны из свинины	Гриль (хоспер)	american	Свиная вырезка, бекон, лаваш, лук маринованный, кинза, соус грибной		gluten_free,lactose_free		250	657
Свиные колбаски	Гриль (хоспер)	american	Колбаски, квашеная капуста, картофель беби, огурцы корнишоны, горчица, помидоры черри		gluten_free,lactose_free	mustard	245	1340
Стейк индейки	Гриль (хоспер)	american	Филе индейки, жареная кукуруза, паприка, морская соль		gluten_free,lactose_free		185	551
Шашлык из курицы	Гриль (хоспер)	american	Фермерская курица, лаваш, кинза, маринованный лук		gluten_free,lactose_free		180	813
Шашлык из свиной шеи	Гриль (хоспер)	american	Свинина, лаваш, кинза, маринованный лук		gluten_free,lactose_free		180	1094
Бефстроганов	Горячее — мясо	european	Говядина, шампиньоны, картофель беби, сливки, помидоры черри, репчатый лук, огурцы корнишоны, дижонская горчица		gluten_free	dairy,mustard	200	549
Говядина по-тайски	Горячее — мясо	asian	Говядина, кунжутное масло, перец болгарский, шампиньоны, стебель сельдерея, лук красный, арахис, лук фри, соус тайский, чеснок, имбирь, перец чили, кинза, рис	spicy	gluten_free,lactose_free	peanuts,sesame,celery	390	621
Говяжьи котлеты с картофельным пюре	Горячее — мясо	european	Фарш говяжий, картофельное пюре, соус брусничный, соус сливочно-горчичный		gluten_free,lactose_free		350	667
Рваная говядина на подушке из стрипсов	Горячее — мясо	european	Томленая говядина, картофельные стрипсы, зелень, томаты черри, лук маринованный		gluten_free,lactose_free		300	653
Свиные ребра «Барбекю»	Горячее — мясо	european	Свиные ребра су-вид, лук фри, соус барбекю, соус блю чиз		gluten_free,lactose_free		260	957
Свиные ребра «Терияки»	Горячее — мясо	asian	Свиные ребра су-вид, семена кунжута, соус терияки, соус блю чиз		gluten_free,lactose_free	sesame	260	956
Свиные ребра Jack Daniel’s	Горячее — мясо	european	Свиные ребра су-вид, фисташка, соус Jack Daniel’s, соус блю чиз		gluten_free,lactose_free	nuts	260	956
